Flight_Number,Route,Delay_Cluster,Cascading_Impact_Score
QP1529,BOM-DBR,0,93.395
AI673,BOM-PAT,2,50.095000000000006
VS355,BOM-LHR,1,60.54666666666667
6E673,BOM-COK,0,69.35166666666667
AI611,BOM-JAI,2,42.43833333333334
AI647,BOM-JGA,0,55.86000000000001
AI2444,BOM-HYD,2,53.13
QP1385,BOM-IXB,0,82.85333333333334
ET641,BOM-ADD,1,50.388333333333335
SV771,BOM-JED,2,45.36166666666668
6E1157,BOM-KTM,0,69.63833333333334
EY201,BOM-AUH,0,61.74
6E5307,BOM-GOI,2,48.32666666666666
6E5316,BOM-BEK,0,57.61666666666667
6E6827,BOM-DEL,0,73.13833333333332
9I623,BOM-DIU,0,84.46333333333334
AI2632,BOM-BLR,0,60.896666666666675
SG2905,BOM-IXY,0,78.665
AI2841,BOM-GOI,2,44.38666666666667
6E5217,BOM-BLR,2,55.705000000000005
AI2419,BOM-DEL,2,39.76166666666667
AI2471,BOM-CCU,2,44.96166666666667
SQ421,BOM-SIN,1,66.85166666666666
6E5206,BOM-MAA,0,65.86333333333333
6E5097,BOM-HYD,0,64.62333333333333
AI2503,BOM-CJB,2,34.583333333333336
6E5276,BOM-GWL,2,41.755
